orderid,OrderDate,UserId,TotalCharges,CommonId,PupId,PickupDate
884,2009-07-13,200,2.24,QSVQH,3,2009-07-14
995,2009-08-02,200,13.67,Z5N3E,5,2009-08-07
1402,2009-10-12,200,13.58,8MNCV,3,2009-10-13
1454,2009-10-19,200,6.54,WPT5K,3,2009-10-20
2387,2010-01-18,200,7.44,AUXH3,15,2010-01-18
385,2009-03-22,202,101.83,GQ4BY,4,2009-03-24
416,2009-04-08,202,206.32,LEFC5,4,2009-04-09
504,2009-04-30,202,142.04,DYHKW,4,2009-04-30
526,2009-05-05,202,111.41,GF7X7,4,2009-05-05
561,2009-05-12,202,96.14,QMK96,4,2009-05-12
607,2009-05-20,202,162.41,D2FFR,4,2009-05-21
643,2009-05-27,202,144.73,Q7SX8,4,2009-05-28
673,2009-06-03,202,81.82,78V2J,4,2009-06-04
799,2009-06-29,202,208.52,GY9K5,4,2009-06-30
1041,2009-08-11,202,142.86,ZGVP3,4,2009-08-11
1085,2009-08-20,202,230.71,VN5CM,4,2009-08-20
1158,2009-09-01,202,164.3,FPWM2,4,2009-09-01
1205,2009-09-08,202,243.93,5WDD3,4,2009-09-08
1425,2009-10-15,202,173.65,R5D99,4,2009-10-15
1457,2009-10-19,202,87.65,QALA2,11,2009-10-21
1535,2009-10-27,202,206.29,4AKAR,11,2009-10-28
1600,2009-11-04,202,115.95,JJMGA,11,2009-11-04
1689,2009-11-11,202,216.39,J47X2,11,2009-11-11
1814,2009-11-18,202,158.94,U68KQ,11,2009-11-18
2496,2010-01-26,202,161.77,S9NWW,4,2010-01-26
265,2009-01-13,207,32.96,MZ562,3,2009-01-13
279,2009-01-20,207,24.24,UMUAD,3,2009-01-20
299,2009-02-05,207,22.6,LBM3R,3,2009-02-05
312,2009-02-12,207,55.4,S4LPV,3,2009-02-12
313,2009-02-12,207,3.02,69ZDJ,3,2009-02-12
326,2009-02-19,207,28.29,XVXS3,3,2009-02-19
327,2009-02-19,207,2.65,D8KLE,3,2009-02-19
328,2009-02-19,207,2.8,BJLRA,3,2009-02-19
338,2009-02-26,207,29.22,2HJA7,3,2009-02-26
339,2009-02-26,207,28.34,4P2HZ,3,2009-02-26
357,2009-03-10,207,17.81,L4RPU,4,2009-03-10
370,2009-03-17,207,45.3,NEMEB,4,2009-03-17
388,2009-03-24,207,39.3,Q2LQ7,4,2009-03-24
430,2009-04-14,207,14.42,TEHSY,4,2009-04-14
466,2009-04-23,207,28.17,9FYMW,4,2009-04-23
569,2009-05-14,207,38.95,C6428,4,2009-05-14
612,2009-05-21,207,31.77,7LEMS,4,2009-05-21
649,2009-05-28,207,34.24,JP57U,4,2009-05-28
676,2009-06-04,207,41.12,9EA7H,4,2009-06-04
707,2009-06-11,207,22.67,MHEMQ,4,2009-06-11
733,2009-06-16,207,46.38,U74LF,4,2009-06-16
783,2009-06-25,207,14.66,6Q7T3,4,2009-06-25
802,2009-06-30,207,9.25,BZZ3Z,4,2009-06-30
936,2009-07-23,207,29.41,BYNX4,4,2009-07-23
958,2009-07-27,207,30.6,QQFV6,4,2009-07-28
1043,2009-08-11,207,83.24,LNHHE,4,2009-08-11
1074,2009-08-18,207,57.41,2WE66,4,2009-08-18
1117,2009-08-25,207,75.63,LXE87,4,2009-08-25
1174,2009-09-03,207,82.71,2GYRW,4,2009-09-03
1245,2009-09-15,207,60.77,PWDKC,4,2009-09-15
1280,2009-09-22,207,55.27,D5AP2,4,2009-09-22
1378,2009-10-08,207,38.15,4RB2N,4,2009-10-08
1597,2009-11-03,207,58.52,MLWHL,4,2009-11-03
1661,2009-11-10,207,37.72,Z642W,4,2009-11-10
1905,2009-12-01,207,53.44,4AZMQ,4,2009-12-01
1992,2009-12-08,207,31.4,7XWFQ,4,2009-12-08
2057,2009-12-15,207,41.51,PSESN,4,2009-12-15
2107,2009-12-21,207,81.22,GLUH6,4,2009-12-22
2499,2010-01-26,207,76.44,8C37P,4,2010-01-26
2631,2010-02-02,207,72.02,SZFQG,4,2010-02-03
2871,2010-02-16,207,71.81,FD9LD,4,2010-02-17
2973,2010-02-22,207,22.98,QPDJP,4,2010-02-23
3049,2010-02-26,207,21.88,SAFUP,4,2010-02-26
3110,2010-03-02,207,64.94,AXV93,4,2010-03-02
3211,2010-03-08,207,57.05,DX6JP,4,2010-03-08
287,2009-01-28,225,16.99,TFCX6,3,2009-01-29
308,2009-02-10,230,16.66,GEM33,3,2009-02-10
348,2009-03-05,230,18.7,89WWL,4,2009-03-05
434,2009-04-14,230,21.34,H9545,3,2009-04-14
257,2009-01-06,253,57.51,6T3J5,3,2009-01-06
274,2009-01-15,253,64.83,GE3YZ,3,2009-01-15
277,2009-01-20,253,80.48,NNY5A,3,2009-01-20
283,2009-01-27,253,91.53,GHWB5,3,2009-01-27
293,2009-02-02,253,54.86,XAAX4,2,2009-02-02
295,2009-02-04,253,50.12,YNGMD,2,2009-02-04
309,2009-02-11,253,76.89,BADHL,2,2009-02-11
310,2009-02-11,253,18.75,T5Q4Y,2,2009-02-11
352,2009-03-09,253,93.34,TVFB2,4,2009-03-10
381,2009-03-19,253,88.84,U928K,4,2009-03-19
387,2009-03-24,253,83.93,WB4PC,4,2009-03-24
393,2009-03-26,253,21.29,NQDWX,4,2009-03-26
399,2009-03-31,253,72.7,FZ8JJ,4,2009-03-31
405,2009-04-02,253,47.92,QHZNE,3,2009-04-02
411,2009-04-07,253,115.56,RJRFJ,4,2009-04-07
419,2009-04-09,253,32.34,MFCUJ,3,2009-04-09
420,2009-04-09,253,5.45,QNYTH,3,2009-04-09
435,2009-04-14,253,67.21,8JT56,4,2009-04-14
439,2009-04-16,253,16.96,9DY9B,3,2009-04-16
