book_title,book_author,book_translator,book_pub_date,book_isbn
비즈니스 활용 사례로 배우는 데이터 분석:R,"사카마키 류지 , 사토 요헤이 ",손정도 ,2015-10-28,9788968482113
"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈 , 김종진 ",2013-07-02,384 쪽,4043
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준 , 박광현 , 이웅재 , 최은정 , 고혜영 , 이재호 , 손예진 , 조민주 ",2016-09-05,252 쪽,4274
"(10대를 위한 프로그래밍 노트, 수프) 코딩 클럽 LV4. 파이썬 프로그래밍 아트",크리스 로피 ,유형목 ,2016-09-28,9788968484797
임백준의 아카 시작하기 : Akka 개념 잡기,임백준 ,2015-10-29,130 쪽,
초보자를 위한 Linux & Unix C 프로그래밍,"김종훈 , 김종진 , 김동균 ",2003-08-19,840 쪽,1245
맛있는 디자인 애프터 이펙트 CS6 & CC,이수정 ,2014-11-21,408 쪽,2142
"모던 웹 디자인을 위한 HTML5+CSS3 입문, 개정판",윤인성 ,2015-01-19,624 쪽,2161
회사에서 바로 통하는 엑셀 파워포인트 워드 2016 한글 NEO + 원노트,"전미진 , 이화진 , 신면철 ",2016-10-21,760 쪽,2488
"모던 웹을 위한 JavaScript + jQuery 입문(개정판) : 자바스크립트에서 제이쿼리, 제이쿼리 모바일까지 한 권으로 끝낸다",윤인성 ,2013-09-03,980 쪽,2042
엔지니어를 위한 데이터 시각화 :  D3.js로 배우는 데이터 시각화 이론과 12가지 사례,"모리후지 다이치 , 안티베이지안 ",김성재 ,2015-04-27,9788968481918
비즈니스를 위한 데이터 과학 : 빅데이터를 바라보는 데이터 마이닝과 분석적 사고,"포스터 프로보스트 , 톰 포셋 ",강권학 ,2014-06-24,9788968481093
클라이언트-서버 웹 앱 만들기: 자바와 자바스크립트로 배우는 모던 웹 앱 개발,캐지미어 새터노스 ,김은정 ,2014-10-17,9788968481345
임백준의 대살개문,임백준 ,2016-04-28,304 쪽,2274
데이터 분석을 통한 네트워크 보안 : IoT 시대에 맞는 상황 인식형 보안 구축하기,마이클 콜린스 ,문성건 ,2016-03-28,9788968482588
맛있는 디자인 드림위버 CC,"임화연 , 이해령 ",2015-07-28,424 쪽,2212
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는",박두순 ,2016-01-02,508 쪽,4241
뇌를 자극하는 파이썬 3,박상현 ,2016-02-05,500 쪽,2235
우분투 환경에서 C 언어로 배우는 리눅스 프로그래밍,이이오 준 ,김성재 ,2012-09-24,9788979149531
"팟캐스트 나는 프로그래머다: 뉴욕, 서울, 도쿄 개발자의 촌철살인 IT 이야기","임백준 , 정도현 , 김호광 ",2015-10-19,404 쪽,2228
데이터 시각화를 위한 데이터 인사이트 : 빅데이터를 바라보는 통찰의 눈,헌터 휘트니 ,한선용 ,2014-04-18,9788968480942
회사에서 바로 통하는 엑셀 실무 데이터 분석,최준선 ,2012-11-20,520 쪽,1980
모션 그래픽 디자인 강의 + 애프터 이펙트,이수정 ,2016-09-21,368 쪽,2489
After Effects Professional Training book: 모션 그래픽 실무 예제집,이수정 ,2008-09-19,324 쪽,1596
Head First HTML5 Programming: 웹 표준으로 만드는 생동감 있는 웹 애플리케이션,"에릭 프리먼 , 엘리자베스 롭슨 ",홍형경 ,2012-07-28,9788979149326
"유닉스 리눅스 프로그래밍 필수 유틸리티(개정판) : vim make, gcc, gdb, svn, binutils, autoconf, autotools",백창우 ,2010-08-01,796 쪽,1759
엔트리 : 창의력과 문제해결능력 향상을 위한 첫걸음,"최현종 , 이상열 , 박지현 , 이현아 ",2016-03-17,256 쪽,2264
"프로그래밍 면접, 이렇게 준비한다(3판)","존 몽건 , 에릭 기게리 , 노아 수요야넨 킨들러 ",서환수 ,2014-02-28,9788968480843
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호 ",2015-08-17,372 쪽,4196
Head First JavaScript : 대화형 웹 애플리케이션의 시작,마이클 모리슨 ,홍형경 ,2008-07-01,9788979145823
컴파일러 구조와 원리,아오키 미네로우 ,이영희 ,2010-09-06,9788979147681
처음 시작하는 파이썬: 파이썬 패키지를 활용한 모던 컴퓨팅 입문,빌 루바노빅 ,최길우 ,2015-12-04,9788968482397
유닉스 리눅스 셸 스크립트 예제 사전,오스미 유스케 ,서수환 ,2015-08-27,9788968482137
실전 쇼핑몰 포토샵 북 : 상품 사진 보정부터 상세 페이지 제작까지 쇼핑몰 디자인의 모든 것,임화연 ,2014-05-22,504 쪽,2099
회사에서 바로 통하는 엑셀 2013,한은숙 ,2014-07-09,544 쪽,2107
뇌를 자극하는 알고리즘,박상현 ,2009-09-04,604 쪽,1687
누워서 읽는 알고리즘: 프로그래밍 상상력을 키워주는 알고리즘 이야기,임백준 ,2015-10-16,280 쪽,2227
10년차 디자이너에게 1:1로 배우는 일러스트레이터 디자인 강의,장보경(앤하우스) ,2014-01-08,452 쪽,2076
맛있는 디자인 포토샵 CS6,"임화연 , 이세련 , 이해령 ",2013-02-28,448 쪽,2001
엑셀 매크로&VBA 바이블: 회사에서 필요한 코드는 모두 있다!,최준선 ,2012-06-28,1044 쪽,1935
"모던 웹을 요리하는 초간편 HTML5 Cookbook : 자바스크립트 API, 로컬 저장소, 접근성, 지오로케이션","크리스토퍼 슈미트 , 카일 심슨 ",한선용 ,2012-08-17,9788979149401
뇌를 자극하는 C# 5.0 프로그래밍,박상현 ,2014-08-19,736 쪽,2116
정보교과교육론(증보판) : 소프트웨어 교육을 위한 필수 지침서,"이태욱 , 최현종 ",2016-03-03,404 쪽,4251
10년차 디자이너에게 1:1로 배우는 편집 디자인 강의+인디자인,황지완 ,2014-04-28,404 쪽,2093
좋은 코딩 나쁜 코딩 : 단순한 코드가 좋은 코드다 (2판),박진수 ,2013-10-10,328 쪽,2056
만들면서 배우는 인터프리터: 컴파일러 이론으로 만드는 나만의 스크립트 언어,하야시 하루히코 ,김성재 ,2012-10-12,9788979149043
코딩의 기술 : C와 C++ 게임 코드로 알아보는,오즈 모리하루 ,윤인성 ,2016-03-28,9788968482694
회사에서 바로 통하는 엑셀 2013 & 한글 2014,"전미진 , 신면철 ",2015-06-28,496 쪽,2207
"자바 프로그래밍 면접, 이렇게 준비한다",노엘 마크엄 ,정원천 ,2015-01-23,9788968481529
"Blog2Book, 아는 만큼 보이는 데이터베이스 설계와 구축",이춘식 ,2008-07-04,280 쪽,1557
"IT CookBook, enjoy design 일러스트레이터 CS6","김경진 , 김부치 ",2014-01-03,506 쪽,4072
유닉스 리눅스 명령어 사전(개정판),"우종경 , 박종오 ",2010-11-25,852 쪽,1793
일러스트레이터 트레이닝 북: Illustrator Training Book,박혜진 삐딱대가리 ,2009-01-28,296 쪽,1624
HTML5 Canvas : 웹의 한계를 캔버스로 뛰어 넘는다,"스티브 펄튼 , 제프 펄튼 ","이수진 , 이성희 ",2012-01-09,9788979148985
HTML5+CSS3 정복 : 실습 위주의 친절한 HTML5 자습서,김상형 ,2014-09-28,700 쪽,2127
"JavaScript+jQuery 정복 : 보고, 이해하고, 바로 쓰는 자바스크립트 공략집",김상형 ,2014-10-17,800 쪽,2132
불황을 이기는 색다른 쇼핑몰 COLOR & LAYOUT,"김정인 , 박혜진 , 라임기획 ",2009-01-28,376 쪽,1605
전문가를 위한 C++ : C++ 11을 대하는 유쾌한 방법(개정판 2권),"마크 그레고리 , 니콜라스 솔터 , 스캇 클레퍼 ",권오인 ,2013-10-17,9788968480393
이것이 C++이다,최호성 ,2016-01-19,524 쪽,2246
"IT CookBook, Play 포토샵",원다예 ,2015-04-27,410 쪽,4180
스마트러닝 콘텐츠 만들기,"배영권 , 도재춘 , 김달진 , 신승기 ",2013-04-26,260 쪽,4011
회사에서 바로 통하는 한글 2014,신면철 ,2015-02-27,380 쪽,2173
더글라스 크락포드의 자바스크립트 핵심 가이드,더글라스 크락포드(Douglas Crockford) ,김명신 ,2008-09-26,9788979145984
맛있는 디자인 인디자인 CS6,황지완 ,2012-11-28,396 쪽,1981
회사에서 바로 통하는 일러스트레이터 CS5,박혜진(삐딱대가리) ,2011-04-28,548 쪽,1824
Thinking About : PPL을 이용한 VC++ 병렬 프로그래밍(2판),김경진 ,2014-03-17,196 쪽,
만들면서 배우는 HTML5+CSS3+jQuery,야무(지훈) ,2012-03-12,416 쪽,1910
맛있는 디자인 일러스트레이터 CS6,우보명 ,2012-12-12,396 쪽,1989
전문가를 위한 C++ : C++ 11을 대하는 유쾌한 방법(개정판 1권),"마크 그레고리 , 니콜라스 솔터 , 스캇 클레퍼 ",권오인 ,2013-10-17,9788968480386
"IT CookBook, C 언어 트레이닝",김상형 ,2017-12-04,524 쪽,4360
Head First SQL : 효율적인 DB 관리를 위한 SQL 학습법,린 베일리 ,박종걸 ,2008-05-28,9788979145601
뽀얀의 감성 일러스트레이션 : 포토샵과 일러스트레이터를 이용한 손 느낌 나는 일러스트 기법,뽀얀(김은혜) ,2012-10-28,464 쪽,1966
스콧 켈비의 사진가를 위한 포토샵 CS6,스콧 켈비(Scott Kelby) ,홍성희 ,2013-07-09,9788968480324
전문가를 위한 C++(개정3판),마크 그레고리 ,권오인 ,2016-11-04,9788968484858
웹 표준 가이드: HTML5 + CSS3,존 앨섭(John Allsopp) ,"김지원 , 홍승표 ",2010-11-25,9788979147940
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014,"전미진 , 이화진 , 신면철 ",2015-05-19,688 쪽,2194
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014 & 윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",2016-03-28,728 쪽,2273
"안드로이드 프로그래밍 정복 4판, 1권",김상형 ,2016-01-22,1056 쪽,2252
회사에서 바로 통하는 엑셀+파워포인트 2013&한글 2014,"전미진 , 이화진 , 신면철 ",2015-04-28,584 쪽,2193
회사에서 바로 통하는 포토샵 CS4,원다예 ,2009-04-09,416 쪽,1666
SQL 레벨업 : DB 성능 최적화를 위한 SQL 실전 가이드,미크 ,윤인성 ,2016-01-22,9788968482519
뇌를 자극하는 C++ 프로그래밍,이현창 ,2006-07-06,932 쪽,1419
만들면서 배우는 모던 웹사이트 제작,야무(지훈) ,2015-04-20,460 쪽,2187
"Blog2Book, 프로그래머가 몰랐던 멀티코어 CPU 이야기",김민장 ,2010-05-20,396 쪽,1740
SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,아사이 아츠시 ,박준용 ,2015-10-26,9788968482311
만들면서 배우는 모던 웹사이트 디자인,야무(지훈) ,2014-03-17,392 쪽,2090
뽀얀의 일러스트 하우스 by 포토샵,김은혜 ,2007-12-11,508 쪽,1520
좋은 사진을 만드는 김주원의 포토샵 사진 강의,김주원 ,2012-05-14,520 쪽,1926
뇌를 자극하는 C++ STL,공동환 ,2012-04-26,576 쪽,1913
IT EXPERT 윈도우 시스템 프로그램을 구현하는 기술,이호동 ,2015-03-28,1220 쪽,2178
"안드로이드 프로그래밍 정복 4판, 2권",김상형 ,2016-01-22,964 쪽,2253
모던 웹을 위한 HTML5 웹소켓 프로그래밍,"바네사 왕 , 프랭크 살림 , 피터 모스코비츠 ",김지원 ,2013-07-24,9788968480317
뇌를 자극하는 윈도우즈 시스템 프로그래밍,윤성우 ,2007-03-28,760 쪽,1461
뽀얀의 포토샵 일러스트 하우스 II 미술사 거장을 만나다,뽀얀(김은혜) ,2010-04-23,448 쪽,1736
포토샵 CS 디자인 스쿨(증보판),이문형 ,2008-02-25,612 쪽,1504
Head First PHP & MySQL: 효과적이고 생동감 넘치는 웹 애플리케이션 만들기,"린 베일리 , 마이클 모리슨 공저 ",홍승표 ,2010-05-07,9788979147391
아이벤의 블링블링 포토샵,"김현태 , 아이벤 포토샵 카페 ",2009-09-28,584 쪽,1692
호기심디테일의 포토샵 CS5,귀동걸(박귀염) ,2012-01-05,464 쪽,1889
"IT CookBook for Beginner, C++ 기초","신호철 , 조인현 ",2013-08-13,448 쪽,4047
스콧 켈비의 라이트룸 CC 킬러 팁 북,스콧 켈비(Scott Kelby) ,문보라 ,2016-05-31,9788968482854
회사에서 바로 통하는 파워포인트 2013,전상오 ,2014-11-25,440 쪽,2141
마담의크스와 함께 하는 손글씨&동꼬 by 포토샵,"마담의크스 카페 , 네모기획 ",2006-07-12,576 쪽,1426
좋은 사진을 만드는 김주원의 풍경사진,김주원 ,2015-03-28,448 쪽,2183
데이터베이스 첫걸음,"미크 , 기무라 메이지 ",박주항 ,2016-10-10,9788968487316
좋은 사진을 만드는 김주원의 DSLR 사진 입문  : 누구에게도 묻지 못했던 사진에 관한 87가지 질문,김주원 ,2013-06-11,324 쪽,2023
훌륭한 프로그래머 되는 법 : 프로젝트와 팀을 성공으로 이끄는 선배 개발자의 노하우,피트 구들리프 ,"최원재 , 강전희 , 안재덕 , 남윤화 ",2015-12-04,9788968482304
"나에게, 포토샵: 생활 디자이너 7명이 들려주는 일상, 작업, 포토샵 이야기","김효정 , 김진숙 , 이지남 , 조영주 , 신동욱 , 최재연 , 조선진 ",2013-03-25,296 쪽,2009
리버스 엔지니어링 1권(파일 구조 편),이호동 ,2016-09-28,848 쪽,2487
읽기 좋은 자바스크립트 코딩 기법: 유지보수가 쉬운 코드로 팀의 생산성을 높이자,니콜라스 자카스 ,김광호 ,2013-01-26,9788979149883
좋은 사진을 만드는 김주원의 미러리스 & DSLR 사진강의,김주원 ,2015-11-12,540 쪽,2226
"IT CookBook, enjoy design 포토샵 CS6",이영주 ,2013-07-28,522 쪽,4035
뇌를 자극하는 PHP 프로그래밍,조명진 ,2009-07-21,688 쪽,1658
리버스 엔지니어링 2권(디버거 편),이호동 ,2017-03-01,1396 쪽,2481
The Art of Computer Programming 1: 기초 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2006-09-28,9788979144307
"IT CookBook, C C++ 프로그래밍 : 프로그래밍 기초와 객체지향",김동근 ,2013-03-12,720 쪽,4008
The Art of Computer Programming 3: 정렬과 검색(개정 2판),도널드 커누스(Donald E. Knuth)) ,류광 ,2008-01-01,9788979145496
포토샵 디자인 스타일북 : 6 TYPES 20 STYLES,김혜경 ,2013-05-28,400 쪽,2021
"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은 ",2013-06-19,676 쪽,4021
프로그래머로 사는 법: 프로그래머의 길을 걸어가는 당신을 위한 안내서,샘 라이트스톤 ,서환수 ,2012-10-17,9788979149623
나는 프로그래머다,임백준외 6명 ,2004-03-16,376 쪽,1274
내 일상을 꾸며주는 포토샵 CS6&CC,우보명(야우) ,2013-12-26,288 쪽,2074
이것이 편집디자인이다: 편집디자이너가 알아야 할 모든 것,김덕희(CDM The Big) ,2012-06-18,416 쪽,1934
이것이 MySQL이다,우재남 ,2016-06-10,596 쪽,2279
"IT CookBook, PHP 프로그래밍 for Beginner","박대혁 , 강의선 ",2009-07-08,360 쪽,1631
더 나은 프로그래밍을 위한 코드골프 : 즐기면서 배우는 자바스크립트 코드 퍼즐과 알고리즘,야나이 마사카즈 ,"손정도 , 김정현 ",2015-01-28,9788968481673
프로그래머의 리더십,정영훈 ,2015-01-05,232 쪽,2151
"IT CookBook, PHP 프로그래밍 입문(개정판)",황재호 ,2013-05-28,600 쪽,4020
"IT CookBook, 포토샵 CC 2017",이영주 ,2017-11-27,534 쪽,4362
"Modern PHP: 네임스페이스, 트레이트, 클로저부터 모범 사례와 최신 도구까지",조시 록하트 ,정병열 ,2015-10-15,9788968482250
읽기 좋은 코드가 좋은 코드다: 더 나은 코드를 작성하는 간단하고 실전적인 테크닉,"더스틴 보즈웰 , 트레버 파우커 ",임백준 ,2012-04-26,9788979149142
리팩토링: 코드 품질을 개선하는 객체지향 사고법,마틴 파울러 ,김지원 ,2012-11-01,9788979149715
"IT CookBook, C++ 프로그래밍 기초 : 객체지향의 시작","성윤정 , 김태은 ",2014-03-12,652 쪽,4104
이것이 SQL Server다,우재남 ,2016-06-28,720 쪽,2292
The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2007-09-14,9788979144840
The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부,도널드 커누스(Donald E. Knuth) ,류광 ,2013-08-19,9788968480287
"IT CookBook, UI/UX 디자인 이론과 실습",이영주 ,2015-09-23,506 쪽,4202
디자인 문구 실무 제작&디자인(7년차 디자이너 야우가 알려주는),우보명(야우) ,2011-07-14,360 쪽,1806
"MySQL Troubleshooting : 쿼리 문제, 원인을 알면 해결은 쉽다",스베타 스머노바(Sveta Smirnova) ,강권학 ,2013-02-07,9788979149999
엑셀 2013 바이블 : 회사에서 필요한 기능은 모두 있다,최준선 ,2013-06-25,1080 쪽,2027
Windows 시스템 실행파일의 구조와 원리,이호동 ,2005-05-25,576 쪽,1332
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ","문병로 , 심규석 , 이충세 ",2014-07-10,9791156641131
TopCoder 탑코더 알고리즘 트레이닝,타카하시 나오히로 ,윤인성 ,2013-10-28,9788968480553
Effective Unit Testing : 클린 코드와 좋은 설계를 이끄는 단위 테스트,라쎄 코스켈라 ,이복연 ,2013-11-11,9788968480621
프로그래밍은 상상이다,임백준 ,2008-09-01,380 쪽,1594
Programming Challenges: 알고리즘 트레이닝 북,"스티븐 스키에나 , 미구엘 레비야 ",서환수 ,2004-07-14,8979142889
