Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2016-11-18,35900,36000,38950,33900,20007019,241560,두산밥캣,0.0,0.0
2016-11-21,34500,35800,36400,34400,4133962,241560,두산밥캣,-1400.0,-3.8997214484679668
2016-11-22,36900,35400,37300,34500,4432520,241560,두산밥캣,2400.0,6.956521739130435
2016-11-23,35350,36250,36450,35300,2028435,241560,두산밥캣,-1550.0,-4.200542005420054
2016-11-24,35400,35600,36350,35350,1381254,241560,두산밥캣,50.0,0.14144271570014144
2016-11-25,34900,35700,36050,34600,1331139,241560,두산밥캣,-500.0,-1.4124293785310735
2016-11-28,35000,35000,35200,34400,803050,241560,두산밥캣,100.0,0.28653295128939826
2016-11-29,34850,34550,35150,34550,668216,241560,두산밥캣,-150.0,-0.4285714285714286
2016-11-30,33450,34850,35100,33450,1004454,241560,두산밥캣,-1400.0,-4.017216642754662
2016-12-01,34100,33850,34800,33350,749451,241560,두산밥캣,650.0,1.9431988041853512
2016-12-02,33400,34200,34250,32650,932763,241560,두산밥캣,-700.0,-2.0527859237536656
2016-12-05,34800,33500,35100,33400,827683,241560,두산밥캣,1400.0,4.191616766467066
2016-12-06,34900,34900,35400,34350,442595,241560,두산밥캣,100.0,0.28735632183908044
2016-12-07,34800,34800,35350,34300,456565,241560,두산밥캣,-100.0,-0.28653295128939826
2016-12-08,35600,35000,35700,34800,675789,241560,두산밥캣,800.0,2.2988505747126435
2016-12-09,36400,35700,36500,35450,762544,241560,두산밥캣,800.0,2.247191011235955
2016-12-12,37050,36600,37150,36050,677993,241560,두산밥캣,650.0,1.7857142857142856
2016-12-13,36000,36850,37000,35950,430253,241560,두산밥캣,-1050.0,-2.834008097165992
2016-12-14,35550,36350,36400,35450,326736,241560,두산밥캣,-450.0,-1.25
2016-12-15,35550,35850,36250,35450,294079,241560,두산밥캣,0.0,0.0
2016-12-16,35900,35800,36300,35400,338946,241560,두산밥캣,350.0,0.9845288326300985
2016-12-19,35000,35950,35950,34900,328479,241560,두산밥캣,-900.0,-2.5069637883008355
2016-12-20,34800,35050,35750,34650,414926,241560,두산밥캣,-200.0,-0.5714285714285714
2016-12-21,34050,35200,35550,33900,534943,241560,두산밥캣,-750.0,-2.1551724137931036
