Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2005-04-27,32500,32200,32500,32000,419,031440,신세계푸드,0.0,0.0
2005-04-28,32300,32150,33000,32150,4421,031440,신세계푸드,-200.0,-0.6153846153846154
2005-04-29,33000,32200,33300,32200,1910,031440,신세계푸드,700.0,2.1671826625387
2005-05-02,33000,33650,33650,32050,745,031440,신세계푸드,0.0,0.0
2005-05-03,32500,32550,33000,32500,644,031440,신세계푸드,-500.0,-1.5151515151515151
2005-05-04,33000,32100,33000,32100,2227,031440,신세계푸드,500.0,1.5384615384615385
2005-05-06,33700,32250,33700,32250,2117,031440,신세계푸드,700.0,2.1212121212121215
2005-05-09,33600,32400,33700,32400,1095,031440,신세계푸드,-100.0,-0.2967359050445104
2005-05-10,33600,33800,33800,32800,1904,031440,신세계푸드,0.0,0.0
2005-05-11,33000,32250,33250,32250,48,031440,신세계푸드,-600.0,-1.7857142857142856
2005-05-12,33200,33200,33200,32350,2121,031440,신세계푸드,200.0,0.6060606060606061
2005-05-13,32250,32200,33300,32200,119,031440,신세계푸드,-950.0,-2.86144578313253
2005-05-16,31650,31900,32400,31000,945,031440,신세계푸드,-600.0,-1.8604651162790697
2005-05-17,32500,31900,32500,31500,3439,031440,신세계푸드,850.0,2.6856240126382307
2005-05-18,32850,33000,33000,31750,32,031440,신세계푸드,350.0,1.0769230769230769
2005-05-19,32850,33200,33200,31650,184,031440,신세계푸드,0.0,0.0
2005-05-20,32500,33100,33100,31900,308,031440,신세계푸드,-350.0,-1.06544901065449
2005-05-23,32800,31600,33000,31550,4076,031440,신세계푸드,300.0,0.9230769230769231
2005-05-24,32900,32200,32900,32050,230,031440,신세계푸드,100.0,0.3048780487804878
2005-05-25,32800,32000,32800,31500,3953,031440,신세계푸드,-100.0,-0.303951367781155
2005-05-26,32800,31750,32800,31750,1057,031440,신세계푸드,0.0,0.0
2005-05-27,32800,32750,32800,32200,402,031440,신세계푸드,0.0,0.0
2005-05-30,32750,32000,33300,32000,1180,031440,신세계푸드,-50.0,-0.1524390243902439
2005-05-31,32700,32300,32700,32000,673,031440,신세계푸드,-50.0,-0.15267175572519084
2005-06-01,32300,32100,32300,31900,763,031440,신세계푸드,-400.0,-1.2232415902140672
2005-06-02,32000,31850,32200,31800,1164,031440,신세계푸드,-300.0,-0.9287925696594427
2005-06-03,31500,32000,32000,31200,7452,031440,신세계푸드,-500.0,-1.5625
2005-06-07,30800,31750,31800,30800,5801,031440,신세계푸드,-700.0,-2.2222222222222223
2005-06-08,29750,30400,30550,29650,11315,031440,신세계푸드,-1050.0,-3.4090909090909087
2005-06-09,30250,30800,30800,29750,431,031440,신세계푸드,500.0,1.680672268907563
2005-06-10,30350,30300,30550,30100,418,031440,신세계푸드,100.0,0.3305785123966942
2005-06-13,29850,30300,30300,29850,1053,031440,신세계푸드,-500.0,-1.6474464579901154
2005-06-14,29500,29250,29650,29250,3898,031440,신세계푸드,-350.0,-1.1725293132328307
2005-06-15,29250,29500,29600,29250,1932,031440,신세계푸드,-250.0,-0.847457627118644
2005-06-16,29150,29300,29500,29150,2836,031440,신세계푸드,-100.0,-0.3418803418803419
2005-06-17,29000,29850,29850,28900,3566,031440,신세계푸드,-150.0,-0.5145797598627788
2005-06-20,28250,28600,28750,28250,6508,031440,신세계푸드,-750.0,-2.586206896551724
2005-06-21,28150,28000,28550,28000,3534,031440,신세계푸드,-100.0,-0.35398230088495575
2005-06-22,27700,28150,28350,27450,8005,031440,신세계푸드,-450.0,-1.5985790408525755
2005-06-23,27500,27050,28000,27050,4496,031440,신세계푸드,-200.0,-0.7220216606498195
2005-06-24,27500,27750,27750,27450,6308,031440,신세계푸드,0.0,0.0
2005-06-27,28600,27750,29000,27750,14044,031440,신세계푸드,1100.0,4.0
2005-06-28,28600,28050,28700,28050,9194,031440,신세계푸드,0.0,0.0
2005-06-29,29300,29100,29400,28600,6156,031440,신세계푸드,700.0,2.4475524475524475
2005-06-30,29000,29700,29700,28700,10901,031440,신세계푸드,-300.0,-1.023890784982935
2005-07-01,30450,28650,30450,28600,13343,031440,신세계푸드,1450.0,5.0
2005-07-04,30200,30500,30800,30100,4874,031440,신세계푸드,-250.0,-0.8210180623973727
2005-07-05,32250,30450,32400,30450,6390,031440,신세계푸드,2050.0,6.788079470198675
2005-07-06,32300,32000,32850,31200,14126,031440,신세계푸드,50.0,0.15503875968992248
2005-07-07,32300,31800,32450,31600,9941,031440,신세계푸드,0.0,0.0
2005-07-08,32700,32500,32800,32300,1833,031440,신세계푸드,400.0,1.238390092879257
2005-07-11,32900,31950,32900,31250,5315,031440,신세계푸드,200.0,0.6116207951070336
2005-07-12,33500,32900,33900,32500,15996,031440,신세계푸드,600.0,1.82370820668693
2005-07-13,33300,33450,34400,32500,2895,031440,신세계푸드,-200.0,-0.5970149253731344
2005-07-14,33300,33500,34000,33300,3019,031440,신세계푸드,0.0,0.0
2005-07-15,33650,33800,33800,32500,1065,031440,신세계푸드,350.0,1.0510510510510511
2005-07-18,33200,33000,34200,33000,1980,031440,신세계푸드,-450.0,-1.337295690936107
2005-07-19,33200,33950,33950,33200,3303,031440,신세계푸드,0.0,0.0
2005-07-20,33200,33200,33400,33050,2607,031440,신세계푸드,0.0,0.0
2005-07-21,32700,33200,33250,32500,2153,031440,신세계푸드,-500.0,-1.5060240963855422
2005-07-22,33900,33000,34650,33000,12599,031440,신세계푸드,1200.0,3.669724770642202
2005-07-25,35150,33900,35600,33600,9606,031440,신세계푸드,1250.0,3.687315634218289
2005-07-26,36200,35100,36300,34900,4270,031440,신세계푸드,1050.0,2.987197724039829
2005-07-27,36000,35500,36900,35500,6025,031440,신세계푸드,-200.0,-0.5524861878453038
2005-07-28,35700,36800,36800,35500,702,031440,신세계푸드,-300.0,-0.8333333333333334
2005-07-29,35000,35500,35500,34500,2167,031440,신세계푸드,-700.0,-1.9607843137254901
2005-08-01,35350,34750,35800,34500,1856,031440,신세계푸드,350.0,1.0
2005-08-02,35350,35750,35800,35100,872,031440,신세계푸드,0.0,0.0
2005-08-03,35600,35800,35800,34500,156,031440,신세계푸드,250.0,0.7072135785007072
2005-08-04,35650,35600,35800,35000,260,031440,신세계푸드,50.0,0.1404494382022472
2005-08-05,35400,34750,35850,34750,714,031440,신세계푸드,-250.0,-0.7012622720897616
2005-08-08,35000,35400,35400,34700,1936,031440,신세계푸드,-400.0,-1.1299435028248588
2005-08-09,34900,35700,35800,34750,1747,031440,신세계푸드,-100.0,-0.2857142857142857
2005-08-10,34800,34700,35000,34500,2872,031440,신세계푸드,-100.0,-0.28653295128939826
2005-08-11,34250,34450,35100,34050,4077,031440,신세계푸드,-550.0,-1.5804597701149428
2005-08-12,34350,33800,34400,33700,6624,031440,신세계푸드,100.0,0.291970802919708
2005-08-16,32550,34800,34800,31550,7239,031440,신세계푸드,-1800.0,-5.240174672489083
2005-08-17,31900,32150,32550,31100,15019,031440,신세계푸드,-650.0,-1.9969278033794162
2005-08-18,31900,31850,32750,31000,25556,031440,신세계푸드,0.0,0.0
2005-08-19,31100,31300,32700,31000,11911,031440,신세계푸드,-800.0,-2.507836990595611
2005-08-22,31100,31950,32000,30000,5880,031440,신세계푸드,0.0,0.0
2005-08-23,31100,30250,32000,30250,8334,031440,신세계푸드,0.0,0.0
2005-08-24,31100,31850,31850,31000,4747,031440,신세계푸드,0.0,0.0
