Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2005-04-27,11400,11700,11700,11350,106290,020000,한섬,0.0,0.0
2005-04-28,11400,11500,11700,11150,130791,020000,한섬,0.0,0.0
2005-04-29,11300,11250,11550,11250,46490,020000,한섬,-100.0,-0.8771929824561403
2005-05-02,11000,11300,11400,10950,81530,020000,한섬,-300.0,-2.6548672566371683
2005-05-03,10800,10950,11150,10800,31310,020000,한섬,-200.0,-1.8181818181818181
2005-05-04,10800,10900,10950,10700,49190,020000,한섬,0.0,0.0
2005-05-06,10700,10850,10900,10700,30021,020000,한섬,-100.0,-0.9259259259259258
2005-05-09,10450,10700,10750,10300,66640,020000,한섬,-250.0,-2.336448598130841
2005-05-10,10400,10550,10650,10350,106069,020000,한섬,-50.0,-0.4784688995215311
2005-05-11,10400,10300,10400,10250,61480,020000,한섬,0.0,0.0
2005-05-12,10250,10400,10500,10100,192650,020000,한섬,-150.0,-1.4423076923076923
2005-05-13,10150,10250,10250,9950,91560,020000,한섬,-100.0,-0.975609756097561
2005-05-16,10000,10150,10250,10000,47535,020000,한섬,-150.0,-1.477832512315271
2005-05-17,10050,9950,10350,9950,71000,020000,한섬,50.0,0.5
2005-05-18,10050,10050,10200,10050,52480,020000,한섬,0.0,0.0
2005-05-19,10400,10100,10400,10100,64255,020000,한섬,350.0,3.482587064676617
2005-05-20,10000,10400,10450,9990,100515,020000,한섬,-400.0,-3.8461538461538463
2005-05-23,10200,10000,10200,10000,24100,020000,한섬,200.0,2.0
2005-05-24,10050,10100,10200,9980,116400,020000,한섬,-150.0,-1.4705882352941175
2005-05-25,10100,10000,10100,9980,50480,020000,한섬,50.0,0.4975124378109453
2005-05-26,10450,10000,10450,10000,56680,020000,한섬,350.0,3.4653465346534658
2005-05-27,10850,10350,10850,10350,106015,020000,한섬,400.0,3.827751196172249
2005-05-30,11100,10650,11100,10500,48750,020000,한섬,250.0,2.3041474654377883
2005-05-31,10850,11050,11100,10700,36173,020000,한섬,-250.0,-2.2522522522522523
2005-06-01,10750,10800,10950,10550,33831,020000,한섬,-100.0,-0.9216589861751152
2005-06-02,10450,10650,10750,10350,77550,020000,한섬,-300.0,-2.7906976744186047
2005-06-03,10350,10450,10550,10250,33659,020000,한섬,-100.0,-0.9569377990430622
2005-06-07,10300,10450,10500,10300,54320,020000,한섬,-50.0,-0.4830917874396135
2005-06-08,10600,10350,10650,10350,59830,020000,한섬,300.0,2.912621359223301
2005-06-09,10700,10500,10700,10400,113910,020000,한섬,100.0,0.9433962264150944
2005-06-10,10550,10600,10850,10550,31130,020000,한섬,-150.0,-1.4018691588785046
2005-06-13,10550,10650,10700,10550,23820,020000,한섬,0.0,0.0
2005-06-14,10350,10550,10700,10250,68150,020000,한섬,-200.0,-1.8957345971563981
2005-06-15,10250,10400,10400,10200,66018,020000,한섬,-100.0,-0.966183574879227
2005-06-16,10200,10300,10400,10150,118590,020000,한섬,-50.0,-0.4878048780487805
2005-06-17,10200,10250,10250,10100,78770,020000,한섬,0.0,0.0
2005-06-20,10000,10200,10200,10000,98270,020000,한섬,-200.0,-1.9607843137254901
2005-06-21,9950,9860,10000,9860,90380,020000,한섬,-50.0,-0.5
