Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2016-11-10,144000,135000,148000,125500,7179018,207940,삼성바이오로직스,0.0,0.0
2016-11-11,161500,149500,186500,142000,8140539,207940,삼성바이오로직스,17500.0,12.152777777777777
2016-11-14,175500,165000,177500,165000,2977177,207940,삼성바이오로직스,14000.0,8.6687306501548
2016-11-15,166000,179000,181500,162500,2592949,207940,삼성바이오로직스,-9500.0,-5.413105413105413
2016-11-16,170000,168500,173000,163500,1660976,207940,삼성바이오로직스,4000.0,2.4096385542168677
2016-11-17,167500,176500,177500,167500,912260,207940,삼성바이오로직스,-2500.0,-1.4705882352941175
2016-11-18,168000,167000,168000,157500,1312450,207940,삼성바이오로직스,500.0,0.2985074626865672
2016-11-21,169000,167500,172000,164000,642124,207940,삼성바이오로직스,1000.0,0.5952380952380952
2016-11-22,171000,170000,174000,169000,568241,207940,삼성바이오로직스,2000.0,1.183431952662722
2016-11-23,166000,172500,172500,165000,459085,207940,삼성바이오로직스,-5000.0,-2.923976608187134
2016-11-24,155500,165000,165500,155500,837894,207940,삼성바이오로직스,-10500.0,-6.325301204819277
2016-11-25,162000,154000,163500,153000,702370,207940,삼성바이오로직스,6500.0,4.180064308681672
2016-11-28,161500,161000,165500,159000,411331,207940,삼성바이오로직스,-500.0,-0.30864197530864196
2016-11-29,157000,157500,159000,151000,893920,207940,삼성바이오로직스,-4500.0,-2.786377708978328
2016-11-30,154000,156000,158500,150500,2444923,207940,삼성바이오로직스,-3000.0,-1.910828025477707
2016-12-01,144500,153500,154000,144000,852285,207940,삼성바이오로직스,-9500.0,-6.1688311688311686
2016-12-02,142000,144500,146000,139000,702548,207940,삼성바이오로직스,-2500.0,-1.7301038062283738
2016-12-05,142000,143500,146500,142000,406959,207940,삼성바이오로직스,0.0,0.0
2016-12-06,146000,142500,148000,142500,409654,207940,삼성바이오로직스,4000.0,2.8169014084507045
2016-12-07,150500,146500,152000,146500,345673,207940,삼성바이오로직스,4500.0,3.0821917808219177
2016-12-08,150500,152500,154500,147000,359764,207940,삼성바이오로직스,0.0,0.0
2016-12-09,145000,150500,150500,144500,288245,207940,삼성바이오로직스,-5500.0,-3.6544850498338874
2016-12-12,143000,145000,148000,142500,314792,207940,삼성바이오로직스,-2000.0,-1.3793103448275863
2016-12-13,145500,143500,145500,141000,240688,207940,삼성바이오로직스,2500.0,1.7482517482517483
2016-12-14,143500,147000,147000,142500,185937,207940,삼성바이오로직스,-2000.0,-1.3745704467353952
2016-12-15,142500,142500,144000,141000,202359,207940,삼성바이오로직스,-1000.0,-0.6968641114982579
2016-12-16,144500,143000,144500,141500,232511,207940,삼성바이오로직스,2000.0,1.4035087719298245
2016-12-19,150000,144000,151000,143000,354223,207940,삼성바이오로직스,5500.0,3.8062283737024223
2016-12-20,151500,151500,153500,150000,266217,207940,삼성바이오로직스,1500.0,1.0
2016-12-21,148000,152500,153000,148000,147143,207940,삼성바이오로직스,-3500.0,-2.31023102310231
2016-12-22,144000,148000,149000,144000,155240,207940,삼성바이오로직스,-4000.0,-2.7027027027027026
2016-12-23,144000,144000,146500,144000,86513,207940,삼성바이오로직스,0.0,0.0
2016-12-26,144000,145000,145500,144000,62989,207940,삼성바이오로직스,0.0,0.0
2016-12-27,145500,144000,147000,144000,107780,207940,삼성바이오로직스,1500.0,1.0416666666666665
2016-12-28,152000,147500,155000,147000,316778,207940,삼성바이오로직스,6500.0,4.4673539518900345
2016-12-29,151000,151000,152500,149500,125878,207940,삼성바이오로직스,-1000.0,-0.6578947368421052
2017-01-02,156500,151500,158000,151000,242245,207940,삼성바이오로직스,5500.0,3.642384105960265
2017-01-03,158000,156500,158000,154500,163655,207940,삼성바이오로직스,1500.0,0.9584664536741214
2017-01-04,154500,159500,161000,154500,180143,207940,삼성바이오로직스,-3500.0,-2.2151898734177213
2017-01-05,157500,156000,158000,156000,96008,207940,삼성바이오로직스,3000.0,1.9417475728155338
2017-01-06,157500,158000,158500,155500,88105,207940,삼성바이오로직스,0.0,0.0
2017-01-09,154500,157500,158000,153000,124880,207940,삼성바이오로직스,-3000.0,-1.9047619047619049
2017-01-10,151000,154000,154000,150500,156701,207940,삼성바이오로직스,-3500.0,-2.26537216828479
2017-01-11,159000,151500,161000,151500,353023,207940,삼성바이오로직스,8000.0,5.298013245033113
2017-01-12,157000,157500,158500,154500,151742,207940,삼성바이오로직스,-2000.0,-1.257861635220126
2017-01-13,153000,155000,158000,152500,185131,207940,삼성바이오로직스,-4000.0,-2.547770700636943
2017-01-16,151500,154000,154500,151000,125534,207940,삼성바이오로직스,-1500.0,-0.9803921568627451
2017-01-17,152000,151000,154000,150000,110949,207940,삼성바이오로직스,500.0,0.33003300330033003
2017-01-18,153000,153000,153500,152000,73671,207940,삼성바이오로직스,1000.0,0.6578947368421052
2017-01-19,152500,155500,156500,152000,96398,207940,삼성바이오로직스,-500.0,-0.32679738562091504
2017-01-20,155000,152500,155500,152000,79754,207940,삼성바이오로직스,2500.0,1.639344262295082
2017-01-23,155500,156000,156500,154000,89506,207940,삼성바이오로직스,500.0,0.3225806451612903
2017-01-24,155000,155500,156000,152500,112281,207940,삼성바이오로직스,-500.0,-0.3215434083601286
2017-01-25,155000,156000,156500,152500,140686,207940,삼성바이오로직스,0.0,0.0
2017-01-26,161000,156500,164000,155500,407193,207940,삼성바이오로직스,6000.0,3.870967741935484
2017-01-31,161000,162000,164000,160500,228987,207940,삼성바이오로직스,0.0,0.0
2017-02-01,163000,162000,163000,159500,138216,207940,삼성바이오로직스,2000.0,1.2422360248447204
2017-02-02,171500,163500,173000,162500,597838,207940,삼성바이오로직스,8500.0,5.214723926380368
2017-02-03,173000,173500,176500,171500,399421,207940,삼성바이오로직스,1500.0,0.8746355685131195
2017-02-06,168500,172000,172500,167000,251528,207940,삼성바이오로직스,-4500.0,-2.601156069364162
2017-02-07,171500,168500,172500,167000,212751,207940,삼성바이오로직스,3000.0,1.7804154302670623
2017-02-08,163000,171500,172000,161500,374070,207940,삼성바이오로직스,-8500.0,-4.956268221574344
2017-02-09,161000,163000,166000,160500,219373,207940,삼성바이오로직스,-2000.0,-1.2269938650306749
2017-02-10,158000,160000,161000,156000,704753,207940,삼성바이오로직스,-3000.0,-1.8633540372670807
2017-02-13,158000,156000,159500,155500,177206,207940,삼성바이오로직스,0.0,0.0
2017-02-14,156500,158000,159500,156500,150832,207940,삼성바이오로직스,-1500.0,-0.949367088607595
2017-02-15,160500,156000,161500,156000,130426,207940,삼성바이오로직스,4000.0,2.5559105431309903
2017-02-16,159000,161000,162500,158500,132573,207940,삼성바이오로직스,-1500.0,-0.9345794392523363
2017-02-17,160500,155500,160500,155000,192999,207940,삼성바이오로직스,1500.0,0.9433962264150944
2017-02-20,161000,159500,161500,159000,76203,207940,삼성바이오로직스,500.0,0.3115264797507788
2017-02-21,165500,161000,166000,160500,163959,207940,삼성바이오로직스,4500.0,2.7950310559006213
2017-02-22,165000,166500,167000,164000,106637,207940,삼성바이오로직스,-500.0,-0.3021148036253776
2017-02-23,168000,165000,168000,165000,144561,207940,삼성바이오로직스,3000.0,1.8181818181818181
2017-02-24,165500,167500,168000,165000,84069,207940,삼성바이오로직스,-2500.0,-1.488095238095238
2017-02-27,166500,167000,167500,164000,89333,207940,삼성바이오로직스,1000.0,0.6042296072507553
2017-02-28,164500,167000,168000,162500,151499,207940,삼성바이오로직스,-2000.0,-1.2012012012012012
2017-03-02,161500,165000,166000,161000,151100,207940,삼성바이오로직스,-3000.0,-1.82370820668693
2017-03-03,162000,161500,163000,160500,73606,207940,삼성바이오로직스,500.0,0.30959752321981426
2017-03-06,164500,162500,165500,162000,93995,207940,삼성바이오로직스,2500.0,1.5432098765432098
2017-03-07,168000,164500,168000,163500,137830,207940,삼성바이오로직스,3500.0,2.127659574468085
2017-03-08,170000,169000,172000,168000,271238,207940,삼성바이오로직스,2000.0,1.1904761904761905
2017-03-09,168000,170000,171000,168000,109589,207940,삼성바이오로직스,-2000.0,-1.1764705882352942
2017-03-10,171000,168000,171000,167000,149330,207940,삼성바이오로직스,3000.0,1.7857142857142856
2017-03-13,173000,170000,173000,169500,137838,207940,삼성바이오로직스,2000.0,1.1695906432748537
2017-03-14,171000,172500,175000,170000,133248,207940,삼성바이오로직스,-2000.0,-1.1560693641618496
2017-03-15,173500,171000,173500,168500,133554,207940,삼성바이오로직스,2500.0,1.461988304093567
2017-03-16,176500,174000,176500,174000,189001,207940,삼성바이오로직스,3000.0,1.729106628242075
2017-03-17,180500,176000,181000,175500,302822,207940,삼성바이오로직스,4000.0,2.26628895184136
2017-03-20,187500,180000,188000,177000,362620,207940,삼성바이오로직스,7000.0,3.8781163434903045
2017-03-21,193000,187500,199500,186500,495295,207940,삼성바이오로직스,5500.0,2.933333333333333
2017-03-22,188000,189000,195000,186000,341350,207940,삼성바이오로직스,-5000.0,-2.5906735751295336
2017-03-23,187000,190000,193000,184000,282973,207940,삼성바이오로직스,-1000.0,-0.5319148936170213
2017-03-24,187500,187000,192000,185500,189997,207940,삼성바이오로직스,500.0,0.267379679144385
2017-03-27,182000,186500,187500,181000,176930,207940,삼성바이오로직스,-5500.0,-2.933333333333333
2017-03-28,185000,184000,186500,182500,105091,207940,삼성바이오로직스,3000.0,1.6483516483516485
2017-03-29,183500,187000,188500,183000,119613,207940,삼성바이오로직스,-1500.0,-0.8108108108108109
2017-03-30,177000,177000,180000,173000,595964,207940,삼성바이오로직스,-6500.0,-3.5422343324250685
2017-03-31,173000,174500,175500,171000,387922,207940,삼성바이오로직스,-4000.0,-2.2598870056497176
2017-04-03,176000,171500,177500,171500,215082,207940,삼성바이오로직스,3000.0,1.7341040462427744
2017-04-04,177500,176000,177500,174000,110722,207940,삼성바이오로직스,1500.0,0.8522727272727272
2017-04-05,182000,177000,182000,176500,172926,207940,삼성바이오로직스,4500.0,2.535211267605634
2017-04-06,181000,181000,182000,179000,133564,207940,삼성바이오로직스,-1000.0,-0.5494505494505495
2017-04-07,178000,181500,182000,177000,156795,207940,삼성바이오로직스,-3000.0,-1.6574585635359116
2017-04-10,173500,177000,177500,173500,136840,207940,삼성바이오로직스,-4500.0,-2.528089887640449
2017-04-11,177000,174500,177500,174000,150062,207940,삼성바이오로직스,3500.0,2.0172910662824206
2017-04-12,180000,176500,180000,176000,130316,207940,삼성바이오로직스,3000.0,1.694915254237288
2017-04-13,179500,181000,181000,178500,85096,207940,삼성바이오로직스,-500.0,-0.2777777777777778
2017-04-14,179000,178500,180000,178000,54603,207940,삼성바이오로직스,-500.0,-0.2785515320334262
2017-04-17,181000,179000,181500,179000,84139,207940,삼성바이오로직스,2000.0,1.1173184357541899
2017-04-18,182000,182500,182500,179500,74003,207940,삼성바이오로직스,1000.0,0.5524861878453038
2017-04-19,184000,182000,186000,181000,182207,207940,삼성바이오로직스,2000.0,1.098901098901099
2017-04-20,183500,184500,185000,182000,86643,207940,삼성바이오로직스,-500.0,-0.2717391304347826
2017-04-21,187000,185500,191000,184500,236304,207940,삼성바이오로직스,3500.0,1.9073569482288828
2017-04-24,183000,190000,190500,183000,265172,207940,삼성바이오로직스,-4000.0,-2.13903743315508
2017-04-25,184000,184000,185000,181000,142184,207940,삼성바이오로직스,1000.0,0.546448087431694
2017-04-26,181000,187000,187500,180500,253945,207940,삼성바이오로직스,-3000.0,-1.6304347826086956
2017-04-27,181500,182500,183500,181000,149292,207940,삼성바이오로직스,500.0,0.2762430939226519
2017-04-28,175000,181500,182000,173500,368714,207940,삼성바이오로직스,-6500.0,-3.581267217630854
2017-05-02,179000,175000,179500,175000,136537,207940,삼성바이오로직스,4000.0,2.2857142857142856
2017-05-04,180000,180000,180500,177000,140754,207940,삼성바이오로직스,1000.0,0.5586592178770949
2017-05-08,183500,182000,184000,180500,192997,207940,삼성바이오로직스,3500.0,1.9444444444444444
2017-05-10,180000,184000,184000,179500,225215,207940,삼성바이오로직스,-3500.0,-1.9073569482288828
2017-05-11,185000,181000,186000,180000,253559,207940,삼성바이오로직스,5000.0,2.7777777777777777
2017-05-12,185000,185000,185500,182500,101233,207940,삼성바이오로직스,0.0,0.0
2017-05-15,186500,185500,187000,184000,114199,207940,삼성바이오로직스,1500.0,0.8108108108108109
2017-05-16,187000,187000,187500,185000,114999,207940,삼성바이오로직스,500.0,0.2680965147453083
2017-05-17,189000,187500,189000,186000,131398,207940,삼성바이오로직스,2000.0,1.06951871657754
2017-05-18,191000,188000,191500,187000,286608,207940,삼성바이오로직스,2000.0,1.0582010582010581
2017-05-19,192500,192000,192500,189000,140004,207940,삼성바이오로직스,1500.0,0.7853403141361256
2017-05-22,193000,193000,194000,190000,162889,207940,삼성바이오로직스,500.0,0.2597402597402597
2017-05-23,196000,193500,196000,192500,188618,207940,삼성바이오로직스,3000.0,1.5544041450777202
2017-05-24,200000,197500,200500,195500,303725,207940,삼성바이오로직스,4000.0,2.0408163265306123
2017-05-25,204000,200000,206500,198500,263556,207940,삼성바이오로직스,4000.0,2.0
2017-05-26,213500,205000,215500,203000,432433,207940,삼성바이오로직스,9500.0,4.6568627450980395
2017-05-29,213000,210500,219500,207000,462314,207940,삼성바이오로직스,-500.0,-0.234192037470726
2017-05-30,211500,214000,215000,207500,325679,207940,삼성바이오로직스,-1500.0,-0.7042253521126761
2017-05-31,220000,213000,220000,211000,628168,207940,삼성바이오로직스,8500.0,4.0189125295508275
2017-06-01,229000,220000,229000,217500,457129,207940,삼성바이오로직스,9000.0,4.090909090909091
2017-06-02,231500,232500,237000,225000,612238,207940,삼성바이오로직스,2500.0,1.0917030567685588
2017-06-05,232500,231500,232500,227000,354430,207940,삼성바이오로직스,1000.0,0.4319654427645789
2017-06-07,245000,231500,245000,229000,512783,207940,삼성바이오로직스,12500.0,5.376344086021505
2017-06-08,235500,248500,254000,230000,1440876,207940,삼성바이오로직스,-9500.0,-3.877551020408163
2017-06-09,224500,231500,232500,223500,758098,207940,삼성바이오로직스,-11000.0,-4.670912951167728
2017-06-12,228500,225000,232500,225000,362302,207940,삼성바이오로직스,4000.0,1.7817371937639197
2017-06-13,245000,231500,245000,231000,525605,207940,삼성바이오로직스,16500.0,7.2210065645514225
2017-06-14,243500,250000,250000,237000,461481,207940,삼성바이오로직스,-1500.0,-0.6122448979591837
2017-06-15,240000,244000,246500,237000,296745,207940,삼성바이오로직스,-3500.0,-1.4373716632443532
2017-06-16,240000,238500,243000,236000,240682,207940,삼성바이오로직스,0.0,0.0
2017-06-19,240500,241500,243500,238500,176598,207940,삼성바이오로직스,500.0,0.20833333333333334
2017-06-20,234000,243000,243000,233000,313772,207940,삼성바이오로직스,-6500.0,-2.7027027027027026
2017-06-21,233000,231000,237000,226500,364101,207940,삼성바이오로직스,-1000.0,-0.4273504273504274
2017-06-22,238000,235000,239500,232000,231638,207940,삼성바이오로직스,5000.0,2.1459227467811157
2017-06-23,249000,238500,249500,238500,397068,207940,삼성바이오로직스,11000.0,4.621848739495799
2017-06-26,282500,253500,300000,252500,1506559,207940,삼성바이오로직스,33500.0,13.453815261044177
2017-06-27,283500,275000,284500,270500,521770,207940,삼성바이오로직스,1000.0,0.35398230088495575
2017-06-28,281500,279500,282000,277500,376723,207940,삼성바이오로직스,-2000.0,-0.7054673721340388
2017-06-29,297000,285000,302000,283500,770998,207940,삼성바이오로직스,15500.0,5.506216696269982
2017-06-30,292000,295500,308500,286500,855923,207940,삼성바이오로직스,-5000.0,-1.6835016835016834
2017-07-03,280500,291000,291500,276000,511043,207940,삼성바이오로직스,-11500.0,-3.9383561643835616
2017-07-04,289000,282000,291000,278000,416925,207940,삼성바이오로직스,8500.0,3.0303030303030303
2017-07-05,289000,291500,292000,285000,177422,207940,삼성바이오로직스,0.0,0.0
2017-07-06,289500,290000,297500,288500,273210,207940,삼성바이오로직스,500.0,0.17301038062283738
