Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2011-06-01,37350,32500,37350,32200,2777700,019440,세아특수강,0.0,0.0
2011-06-02,40200,38500,42950,37400,3267812,019440,세아특수강,2850.0,7.630522088353414
2011-06-03,38500,40800,41200,37500,941842,019440,세아특수강,-1700.0,-4.228855721393035
2011-06-07,38400,38950,40200,38350,393069,019440,세아특수강,-100.0,-0.2597402597402597
2011-06-08,36700,38400,39200,36400,270382,019440,세아특수강,-1700.0,-4.427083333333334
2011-06-09,37800,36500,38000,35500,265640,019440,세아특수강,1100.0,2.997275204359673
2011-06-10,36700,38000,38500,36600,106772,019440,세아특수강,-1100.0,-2.91005291005291
2011-06-13,40000,36700,40000,36550,363781,019440,세아특수강,3300.0,8.991825613079019
2011-06-14,43000,40000,45750,39350,838047,019440,세아특수강,3000.0,7.5
2011-06-15,45200,43600,45500,43500,318664,019440,세아특수강,2200.0,5.116279069767442
2011-06-16,47600,44500,51300,44100,632728,019440,세아특수강,2400.0,5.3097345132743365
2011-06-17,44000,48500,50000,42900,575712,019440,세아특수강,-3600.0,-7.563025210084033
2011-06-20,44000,45300,46000,43100,188232,019440,세아특수강,0.0,0.0
2011-06-21,47600,45000,47600,44000,337454,019440,세아특수강,3600.0,8.181818181818182
2011-06-22,45850,48300,49450,45550,340048,019440,세아특수강,-1750.0,-3.6764705882352944
2011-06-23,44000,44900,47000,43600,209590,019440,세아특수강,-1850.0,-4.0348964013086155
2011-06-24,42750,44050,44800,41100,289277,019440,세아특수강,-1250.0,-2.840909090909091
2011-06-27,41500,41850,42800,41000,170064,019440,세아특수강,-1250.0,-2.923976608187134
2011-06-28,39050,42200,42450,39050,247470,019440,세아특수강,-2450.0,-5.903614457831325
2011-06-29,39450,39350,40950,39100,147116,019440,세아특수강,400.0,1.0243277848911652
2011-06-30,43200,39750,43850,38800,305877,019440,세아특수강,3750.0,9.505703422053232
2011-07-01,42500,41500,43150,41500,294510,019440,세아특수강,-700.0,-1.6203703703703702
2011-07-04,41550,42900,43750,41500,187214,019440,세아특수강,-950.0,-2.235294117647059
2011-07-05,43100,41700,43350,41700,229967,019440,세아특수강,1550.0,3.730445246690734
2011-07-06,44450,42800,44750,42200,213718,019440,세아특수강,1350.0,3.1322505800464038
2011-07-07,44700,44700,45700,43700,240391,019440,세아특수강,250.0,0.562429696287964
2011-07-08,45350,44800,46150,44350,222902,019440,세아특수강,650.0,1.45413870246085
2011-07-11,47050,46000,48500,45050,315068,019440,세아특수강,1700.0,3.7486218302094816
2011-07-12,46950,46500,48000,46050,177567,019440,세아특수강,-100.0,-0.21253985122210414
2011-07-13,49100,47250,49300,46950,170518,019440,세아특수강,2150.0,4.579339723109691
2011-07-14,49100,48900,49450,46550,132460,019440,세아특수강,0.0,0.0
2011-07-15,49500,49450,50100,48400,124488,019440,세아특수강,400.0,0.8146639511201629
2011-07-18,52500,49500,53400,49250,178903,019440,세아특수강,3000.0,6.0606060606060606
2011-07-19,52000,52100,52700,50400,147455,019440,세아특수강,-500.0,-0.9523809523809524
2011-07-20,50700,52500,52500,50600,117906,019440,세아특수강,-1300.0,-2.5
2011-07-21,49000,50200,50900,47500,169130,019440,세아특수강,-1700.0,-3.353057199211045
2011-07-22,49000,49000,49900,48200,109197,019440,세아특수강,0.0,0.0
2011-07-25,48750,49000,50000,48650,94725,019440,세아특수강,-250.0,-0.5102040816326531
2011-07-26,48400,49400,49400,46850,125528,019440,세아특수강,-350.0,-0.717948717948718
2011-07-27,48650,48400,49450,47900,82107,019440,세아특수강,250.0,0.5165289256198348
2011-07-28,48500,47800,48500,47600,53247,019440,세아특수강,-150.0,-0.3083247687564234
2011-07-29,49500,48550,50800,48500,183785,019440,세아특수강,1000.0,2.0618556701030926
2011-08-01,49400,50400,50400,49050,67872,019440,세아특수강,-100.0,-0.20202020202020202
2011-08-02,45900,49000,49000,45500,185184,019440,세아특수강,-3500.0,-7.08502024291498
2011-08-03,44000,44150,45000,42100,168840,019440,세아특수강,-1900.0,-4.139433551198257
2011-08-04,41200,44500,44600,41200,91244,019440,세아특수강,-2800.0,-6.363636363636363
2011-08-05,38500,37100,39750,37000,135212,019440,세아특수강,-2700.0,-6.553398058252427
2011-08-08,37500,37550,40000,34300,201427,019440,세아특수강,-1000.0,-2.5974025974025974
2011-08-09,40500,35850,42900,34150,160374,019440,세아특수강,3000.0,8.0
2011-08-10,41000,43000,43000,40500,108292,019440,세아특수강,500.0,1.2345679012345678
