Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2005-04-27,13050,13150,13200,13000,23260,002320,한진,0.0,0.0
2005-04-28,13100,13050,13250,12950,41100,002320,한진,50.0,0.38314176245210724
2005-04-29,13050,12850,13050,12650,14040,002320,한진,-50.0,-0.38167938931297707
2005-05-02,13000,13000,13150,12800,19900,002320,한진,-50.0,-0.38314176245210724
2005-05-03,13050,12900,13200,12900,11350,002320,한진,50.0,0.38461538461538464
2005-05-04,13500,12850,13500,12850,23940,002320,한진,450.0,3.4482758620689653
2005-05-06,13150,13350,13500,13050,43330,002320,한진,-350.0,-2.5925925925925926
2005-05-09,13200,13050,13300,12950,23310,002320,한진,50.0,0.38022813688212925
2005-05-10,13400,13350,13400,13000,23150,002320,한진,200.0,1.5151515151515151
2005-05-11,13000,13100,13200,13000,2900,002320,한진,-400.0,-2.9850746268656714
2005-05-12,13200,13200,13250,13000,13330,002320,한진,200.0,1.5384615384615385
2005-05-13,13200,12900,13200,12900,13920,002320,한진,0.0,0.0
2005-05-16,13300,13200,13400,13000,14650,002320,한진,100.0,0.7575757575757576
2005-05-17,13100,13300,13400,13100,13120,002320,한진,-200.0,-1.5037593984962405
2005-05-18,12700,13000,13000,12400,78190,002320,한진,-400.0,-3.0534351145038165
2005-05-19,13100,12600,13100,12550,63060,002320,한진,400.0,3.149606299212598
2005-05-20,12900,13000,13000,12800,13850,002320,한진,-200.0,-1.5267175572519083
2005-05-23,12800,12800,12900,12700,23950,002320,한진,-100.0,-0.7751937984496124
2005-05-24,12900,12700,12950,12700,27190,002320,한진,100.0,0.78125
2005-05-25,12950,12750,12950,12650,23810,002320,한진,50.0,0.3875968992248062
2005-05-26,12650,12800,12900,12650,24775,002320,한진,-300.0,-2.3166023166023164
2005-05-27,12550,12650,12850,12550,84098,002320,한진,-100.0,-0.7905138339920948
2005-05-30,12650,12600,12750,12500,31860,002320,한진,100.0,0.796812749003984
2005-05-31,12500,12750,12750,12250,106704,002320,한진,-150.0,-1.185770750988142
2005-06-01,12500,12500,12600,12350,107730,002320,한진,0.0,0.0
2005-06-02,12400,12550,12650,12400,82960,002320,한진,-100.0,-0.8
2005-06-03,13300,12500,13300,12500,296757,002320,한진,900.0,7.258064516129033
2005-06-07,13200,13150,13300,13050,27690,002320,한진,-100.0,-0.7518796992481203
2005-06-08,13200,13150,13300,13000,85840,002320,한진,0.0,0.0
2005-06-09,13850,13200,14000,13200,176530,002320,한진,650.0,4.924242424242424
2005-06-10,14450,13900,14450,13600,134030,002320,한진,600.0,4.332129963898916
