Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2005-04-27,19150,19000,19200,18750,4790,000060,메리츠화재,0.0,0.0
2005-04-28,19500,19150,19500,19150,4560,000060,메리츠화재,350.0,1.8276762402088773
2005-04-29,19450,19500,19600,19100,2610,000060,메리츠화재,-50.0,-0.2564102564102564
2005-05-02,19650,19650,19900,19100,33950,000060,메리츠화재,200.0,1.0282776349614395
2005-05-03,20000,19600,20000,19500,22910,000060,메리츠화재,350.0,1.7811704834605597
2005-05-04,20300,20200,20500,19900,66810,000060,메리츠화재,300.0,1.5
2005-05-06,20400,20400,20400,20000,5170,000060,메리츠화재,100.0,0.49261083743842365
2005-05-09,20500,20400,20500,20050,8820,000060,메리츠화재,100.0,0.49019607843137253
2005-05-10,20600,20500,20600,20150,7470,000060,메리츠화재,100.0,0.4878048780487805
2005-05-11,20650,20600,20700,20000,3230,000060,메리츠화재,50.0,0.24271844660194172
2005-05-12,20000,20650,20700,20000,3070,000060,메리츠화재,-650.0,-3.14769975786925
2005-05-13,20400,20550,20550,20000,1180,000060,메리츠화재,400.0,2.0
2005-05-16,20000,20100,20400,20000,1110,000060,메리츠화재,-400.0,-1.9607843137254901
2005-05-17,20200,20000,20200,19900,3720,000060,메리츠화재,200.0,1.0
2005-05-18,20000,20500,20500,20000,690,000060,메리츠화재,-200.0,-0.9900990099009901
2005-05-19,20100,20400,20400,19150,8130,000060,메리츠화재,100.0,0.5
2005-05-20,20100,20150,20150,19850,660,000060,메리츠화재,0.0,0.0
2005-05-23,20200,20350,20350,19750,1870,000060,메리츠화재,100.0,0.4975124378109453
2005-05-24,19950,20150,20150,19850,3540,000060,메리츠화재,-250.0,-1.2376237623762376
2005-05-25,19850,19950,19950,19600,1800,000060,메리츠화재,-100.0,-0.5012531328320802
2005-05-26,19900,19600,19950,19600,1793,000060,메리츠화재,50.0,0.2518891687657431
2005-05-27,19800,19800,20000,19600,9760,000060,메리츠화재,-100.0,-0.5025125628140703
2005-05-30,19800,19800,19800,19750,4700,000060,메리츠화재,0.0,0.0
2005-05-31,19800,19750,19800,19600,2191,000060,메리츠화재,0.0,0.0
2005-06-01,19700,19900,19900,19650,1020,000060,메리츠화재,-100.0,-0.5050505050505051
2005-06-02,19600,19500,19800,19500,4990,000060,메리츠화재,-100.0,-0.5076142131979695
2005-06-03,19650,19600,19700,19550,10320,000060,메리츠화재,50.0,0.25510204081632654
2005-06-07,19800,19950,19950,19700,16310,000060,메리츠화재,150.0,0.7633587786259541
2005-06-08,19600,20000,20000,19600,21130,000060,메리츠화재,-200.0,-1.0101010101010102
2005-06-09,19250,19600,19800,19250,5577,000060,메리츠화재,-350.0,-1.7857142857142856
2005-06-10,19500,19400,19600,19200,1790,000060,메리츠화재,250.0,1.2987012987012987
2005-06-13,19950,19350,20100,19350,11727,000060,메리츠화재,450.0,2.307692307692308
2005-06-14,19950,19950,19950,19450,1820,000060,메리츠화재,0.0,0.0
2005-06-15,20100,19800,20150,19550,5590,000060,메리츠화재,150.0,0.7518796992481203
2005-06-16,20150,19900,20200,19800,13640,000060,메리츠화재,50.0,0.24875621890547264
2005-06-17,19900,20000,20450,19900,1560,000060,메리츠화재,-250.0,-1.240694789081886
2005-06-20,19900,20400,20400,19600,670,000060,메리츠화재,0.0,0.0
2005-06-21,19900,19900,20500,19550,8700,000060,메리츠화재,0.0,0.0
2005-06-22,20400,19900,20500,19750,15110,000060,메리츠화재,500.0,2.512562814070352
2005-06-23,20700,20600,20700,20300,14500,000060,메리츠화재,300.0,1.4705882352941175
2005-06-24,20800,20700,20800,20650,7302,000060,메리츠화재,100.0,0.4830917874396135
2005-06-27,20450,20750,20750,20250,3840,000060,메리츠화재,-350.0,-1.6826923076923077
2005-06-28,21000,20100,21000,20100,32360,000060,메리츠화재,550.0,2.689486552567237
2005-06-29,22150,21300,22400,21000,18430,000060,메리츠화재,1150.0,5.476190476190476
2005-06-30,23000,22200,23000,22200,11730,000060,메리츠화재,850.0,3.837471783295711
2005-07-01,23150,23000,23950,22100,30114,000060,메리츠화재,150.0,0.6521739130434783
2005-07-04,23000,23000,23750,22850,29512,000060,메리츠화재,-150.0,-0.6479481641468683
2005-07-05,24700,23600,26000,23400,70000,000060,메리츠화재,1700.0,7.391304347826087
2005-07-06,23900,24600,25450,23500,12850,000060,메리츠화재,-800.0,-3.2388663967611335
2005-07-07,23250,23250,24350,23200,12750,000060,메리츠화재,-650.0,-2.7196652719665275
2005-07-08,23200,22950,24900,22950,24860,000060,메리츠화재,-50.0,-0.21505376344086022
2005-07-11,24100,23500,24400,23500,12360,000060,메리츠화재,900.0,3.8793103448275863
2005-07-12,24500,24500,24500,24200,15172,000060,메리츠화재,400.0,1.6597510373443984
2005-07-13,23900,24300,24300,23800,22410,000060,메리츠화재,-600.0,-2.4489795918367347
2005-07-14,23300,24000,24000,23200,107782,000060,메리츠화재,-600.0,-2.510460251046025
2005-07-15,23350,23350,23900,23000,11500,000060,메리츠화재,50.0,0.2145922746781116
2005-07-18,23350,23450,23550,22950,17570,000060,메리츠화재,0.0,0.0
2005-07-19,23400,22500,23800,22500,11681,000060,메리츠화재,50.0,0.21413276231263384
2005-07-20,23400,23700,23750,22800,13730,000060,메리츠화재,0.0,0.0
2005-07-21,23300,23900,23900,22800,4840,000060,메리츠화재,-100.0,-0.4273504273504274
2005-07-22,22850,23550,23550,22550,5000,000060,메리츠화재,-450.0,-1.9313304721030045
2005-07-25,22450,22850,22850,22300,6133,000060,메리츠화재,-400.0,-1.75054704595186
2005-07-26,22800,22300,22900,22250,7261,000060,메리츠화재,350.0,1.55902004454343
2005-07-27,22400,22800,23100,22150,11701,000060,메리츠화재,-400.0,-1.7543859649122806
2005-07-28,22750,22400,22800,22400,29271,000060,메리츠화재,350.0,1.5625
2005-07-29,23200,23250,23700,22800,17380,000060,메리츠화재,450.0,1.9780219780219779
2005-08-01,23200,23500,23600,23050,18670,000060,메리츠화재,0.0,0.0
2005-08-02,23200,22950,23400,22700,64050,000060,메리츠화재,0.0,0.0
2005-08-03,23000,23250,23300,22850,17961,000060,메리츠화재,-200.0,-0.8620689655172413
2005-08-04,23000,23000,23000,22800,7820,000060,메리츠화재,0.0,0.0
2005-08-05,23000,23000,23300,22750,19700,000060,메리츠화재,0.0,0.0
2005-08-08,23000,23000,23200,22800,3120,000060,메리츠화재,0.0,0.0
2005-08-09,23000,23000,23200,22800,2340,000060,메리츠화재,0.0,0.0
2005-08-10,23500,22950,24000,22900,8140,000060,메리츠화재,500.0,2.1739130434782608
2005-08-11,25050,23500,25700,23500,47661,000060,메리츠화재,1550.0,6.595744680851063
2005-08-12,26500,25200,26500,24050,47920,000060,메리츠화재,1450.0,5.788423153692615
2005-08-16,26500,26500,26500,25500,23310,000060,메리츠화재,0.0,0.0
2005-08-17,27000,26700,27000,25700,21572,000060,메리츠화재,500.0,1.8867924528301887
2005-08-18,26900,27900,27900,26100,11180,000060,메리츠화재,-100.0,-0.3703703703703704
